"tra_num_decil","rub_id_rubro","tra_mto_tramo_min","tra_mto_tramo_max"
2,28,39.000,58.000
3,28,58.000,80.000
4,28,80.000,98.000
5,28,98.000,129.000
6,28,129.000,170.000
7,28,170.000,228.000
8,28,228.000,369.000
9,28,369.000,9.793.000
0,29,0,11.000
1,29,11.000,23.000
2,29,23.000,33.000
3,29,33.000,42.000
4,29,42.000,53.000
5,29,53.000,71.000
6,29,71.000,92.000
7,29,92.000,159.000
8,29,159.000,245.000
9,29,245.000,915.000
0,30,4.000,4.000
1,30,4.000,41.000
2,30,41.000,50.000
3,30,50.000,80.000
4,30,80.000,91.000
5,30,91.000,108.000
6,30,108.000,160.000
7,30,160.000,161.000
8,30,161.000,329.000
0,31,4.000,11.000
1,31,11.000,17.000
2,31,17.000,21.000
3,31,21.000,25.000
4,31,25.000,30.000
5,31,30.000,37.000
6,31,37.000,48.000
7,31,48.000,68.000
8,31,68.000,80.000
9,31,80.000,115.000
0,32,1.000,10.000
1,32,10.000,13.000
2,32,13.000,15.000
3,32,15.000,18.000
4,32,18.000,20.000
5,32,20.000,22.000
6,32,22.000,25.000
7,32,25.000,29.000
8,32,29.000,37.000
9,32,37.000,555.000
0,34,10.000,44.000
1,34,44.000,55.000
2,34,55.000,65.000
3,34,65.000,71.000
4,34,71.000,79.000
5,34,79.000,92.000
6,34,92.000,101.000
7,34,101.000,114.000
8,34,114.000,167.000
9,34,167.000,1.191.000
0,35,0,2.000
1,35,2.000,2.000
2,35,2.000,2.000
3,35,2.000,6.000
4,35,6.000,8.000
5,35,8.000,13.000
6,35,13.000,19.000
7,35,19.000,35.000
8,35,35.000,76.000
9,35,76.000,144.000
0,36,1.000,4.000
1,36,4.000,6.000
2,36,6.000,8.000
3,36,8.000,11.000
4,36,11.000,12.000
5,36,12.000,14.000
6,36,14.000,17.000
7,36,17.000,20.000
8,36,20.000,32.000
9,36,32.000,596.000
0,38,9.000,11.000
1,38,11.000,15.000
2,38,15.000,17.000
3,38,17.000,18.000
4,38,18.000,83.000
5,38,83.000,124.000
6,38,124.000,125.000
7,38,125.000,206.000
8,38,206.000,250.000
9,38,250.000,700.000
0,40,0,38.000
1,40,38.000,154.000
2,40,154.000,246.000
3,40,246.000,322.000
4,40,322.000,390.000
5,40,390.000,447.000
6,40,447.000,505.000
7,40,505.000,691.000
8,40,691.000,915.000
9,40,915.000,1.920.000
0,42,15.000,18.000
1,42,18.000,21.000
2,42,21.000,28.000
3,42,28.000,38.000
4,42,38.000,48.000
5,42,48.000,75.000
6,42,75.000,131.000
7,42,131.000,300.000
8,42,300.000,683.000
9,42,683.000,1.576.000
0,43,0,5.000
1,43,5.000,7.000
2,43,7.000,8.000
3,43,8.000,9.000
4,43,9.000,10.000
5,43,10.000,15.000
6,43,15.000,37.000
7,43,37.000,133.000
8,43,133.000,190.000
9,43,190.000,628.000
0,46,26.000,34.000
1,46,34.000,38.000
2,46,38.000,84.000
3,46,84.000,86.000
4,46,86.000,156.000
5,46,156.000,224.000
6,46,224.000,241.000
7,46,241.000,343.000
8,46,343.000,344.000
9,46,344.000,1.206.000
0,48,18.000,18.000
1,48,18.000,24.000
2,48,24.000,25.000
4,48,25.000,26.000
5,48,26.000,37.000
7,48,37.000,48.000
8,48,48.000,80.000
0,50,5.000,8.000
1,50,8.000,10.000
2,50,10.000,11.000
3,50,11.000,11.000
4,50,11.000,12.000
5,50,12.000,12.000
6,50,12.000,14.000
7,50,14.000,15.000
8,50,15.000,19.000
9,50,19.000,590.000
0,52,8.000,9.000
1,52,9.000,10.000
2,52,10.000,12.000
3,52,12.000,16.000
4,52,16.000,17.000
5,52,17.000,29.000
6,52,29.000,29.000
7,52,29.000,1.080.000
8,52,1.080.000,1.324.000
9,52,1.324.000,1.370.000
0,54,4.000,20.000
1,54,20.000,22.000
2,54,22.000,35.000
3,54,35.000,66.000
4,54,66.000,85.000
5,54,85.000,139.000
6,54,139.000,463.000
7,54,463.000,744.000
8,54,744.000,2.056.000
9,54,2.056.000,2.969.000
0,55,2.000,6.000
1,55,6.000,7.000
2,55,7.000,8.000
3,55,8.000,9.000
4,55,9.000,10.000
5,55,10.000,11.000
6,55,11.000,14.000
7,55,14.000,23.000
8,55,23.000,51.000
9,55,51.000,2.304.000
0,56,8.000,10.000
1,56,10.000,11.000
2,56,11.000,12.000
3,56,12.000,14.000
4,56,14.000,17.000
5,56,17.000,18.000
6,56,18.000,22.000
7,56,22.000,29.000
8,56,29.000,60.000
9,56,60.000,85.000
0,57,4.000,7.000
1,57,7.000,12.000
2,57,12.000,14.000
3,57,14.000,17.000
4,57,17.000,21.000
5,57,21.000,29.000
6,57,29.000,37.000
7,57,37.000,41.000
8,57,41.000,65.000
9,57,65.000,141.000
0,58,8.000,11.000
1,58,11.000,14.000
2,58,14.000,16.000
3,58,16.000,17.000
4,58,17.000,18.000
5,58,18.000,20.000
6,58,20.000,21.000
7,58,21.000,24.000
8,58,24.000,33.000
9,58,33.000,600.000
0,59,2.000,11.000
1,59,11.000,22.000
2,59,22.000,28.000
3,59,28.000,44.000
4,59,44.000,54.000
5,59,54.000,85.000
6,59,85.000,94.000
7,59,94.000,131.000
8,59,131.000,256.000
9,59,256.000,399.000
0,60,8.000,9.000
1,60,9.000,10.000
2,60,10.000,15.000
3,60,15.000,23.000
4,60,23.000,26.000
5,60,26.000,34.000
6,60,34.000,42.000
7,60,42.000,50.000
8,60,50.000,82.000
9,60,82.000,295.000
0,62,0,9.000
1,62,9.000,13.000
2,62,13.000,18.000
3,62,18.000,23.000
4,62,23.000,33.000
5,62,33.000,45.000
6,62,45.000,57.000
7,62,57.000,70.000
8,62,70.000,113.000
9,62,113.000,2.848.000
0,63,2.000,10.000
1,63,10.000,12.000
2,63,12.000,14.000
3,63,14.000,19.000
4,63,19.000,39.000
5,63,39.000,55.000
6,63,55.000,73.000
7,63,73.000,96.000
8,63,96.000,131.000
9,63,131.000,7.884.000
0,64,2.000,11.000
1,64,11.000,14.000
2,64,14.000,17.000
3,64,17.000,20.000
4,64,20.000,23.000
5,64,23.000,26.000
6,64,26.000,30.000
7,64,30.000,38.000
8,64,38.000,64.000
9,64,64.000,490.000
0,65,14.000,31.000
1,65,31.000,38.000
2,65,38.000,41.000
3,65,41.000,45.000
4,65,45.000,49.000
5,65,49.000,55.000
6,65,55.000,66.000
7,65,66.000,90.000
8,65,90.000,181.000
9,65,181.000,1.196.000
0,66,2.000,13.000
1,66,13.000,17.000
2,66,17.000,21.000
3,66,21.000,29.000
4,66,29.000,37.000
5,66,37.000,49.000
6,66,49.000,72.000
7,66,72.000,102.000
8,66,102.000,160.000
9,66,160.000,1.639.000
0,67,3.000,42.000
1,67,42.000,55.000
2,67,55.000,64.000
3,67,64.000,72.000
4,67,72.000,84.000
5,67,84.000,97.000
6,67,97.000,118.000
7,67,118.000,149.000
8,67,149.000,250.000
9,67,250.000,1.517.000
0,68,5.000,10.000
1,68,10.000,11.000
2,68,11.000,12.000
3,68,12.000,14.000
4,68,14.000,16.000
5,68,16.000,27.000
6,68,27.000,51.000
7,68,51.000,72.000
8,68,72.000,102.000
9,68,102.000,1.427.000
0,69,7.000,12.000
1,69,12.000,17.000
2,69,17.000,22.000
3,69,22.000,25.000
4,69,25.000,30.000
5,69,30.000,34.000
6,69,34.000,43.000
7,69,43.000,50.000
8,69,50.000,72.000
9,69,72.000,266.000
0,70,2.000,6.000
1,70,6.000,7.000
2,70,7.000,9.000
3,70,9.000,11.000
4,70,11.000,14.000
5,70,14.000,18.000
6,70,18.000,26.000
7,70,26.000,38.000
8,70,38.000,59.000
9,70,59.000,158.000
0,71,16.000,18.000
1,71,18.000,26.000
2,71,26.000,27.000
3,71,27.000,33.000
4,71,33.000,37.000
5,71,37.000,38.000
6,71,38.000,61.000
7,71,61.000,67.000
8,71,67.000,788.000
9,71,788.000,1.080.000
0,73,13.000,13.000
2,73,13.000,14.000
5,73,14.000,126.000
7,73,126.000,255.000
0,74,4.000,10.000
1,74,10.000,15.000
2,74,15.000,21.000
3,74,21.000,26.000
4,74,26.000,42.000
5,74,42.000,52.000
6,74,52.000,62.000
7,74,62.000,100.000
8,74,100.000,193.000
9,74,193.000,891.000
0,75,0,11.000
1,75,11.000,23.000
2,75,23.000,32.000
3,75,32.000,40.000
4,75,40.000,52.000
5,75,52.000,62.000
6,75,62.000,76.000
7,75,76.000,91.000
8,75,91.000,122.000
9,75,122.000,418.000
0,76,9.000,16.000
1,76,16.000,21.000
2,76,21.000,23.000
3,76,23.000,28.000
4,76,28.000,30.000
5,76,30.000,35.000
6,76,35.000,39.000
7,76,39.000,43.000
8,76,43.000,47.000
9,76,47.000,129.000
0,77,4.000,18.000
1,77,18.000,22.000
2,77,22.000,28.000
3,77,28.000,38.000
4,77,38.000,45.000
5,77,45.000,47.000
6,77,47.000,50.000
7,77,50.000,57.000
8,77,57.000,135.000
9,77,135.000,3.686.000
0,78,0,7.000
1,78,7.000,19.000
2,78,19.000,25.000
3,78,25.000,29.000
4,78,29.000,38.000
5,78,38.000,47.000
6,78,47.000,85.000
7,78,85.000,142.000
8,78,142.000,209.000
